#,Place_Name,State,City,Address,Lunch-Time - IN,Lunch-Time - Out,Dinner Time - IN,Dinner Time - Out,Capacity,Contact,Lat,Long,Maps Url
1,Annapurna Canteen - KUSHAIGUDA ,Telangana,Hyderabad,KUSHAIGUDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.48031667,78.57483333,"https://www.google.com/maps/search/?api=1&query=17.4803166666667,78.5748333333333"
2,Annapurna Canteen - CHERLAPALLI ,Telangana,Hyderabad,CHERLAPALLI  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.47105,78.59698333,"https://www.google.com/maps/search/?api=1&query=17.47105,78.5969833333333"
3,Annapurna Canteen - KAPRA - MALLAPUR ,Telangana,Hyderabad,KAPRA - MALLAPUR  Hyderabad Telangana,No Info,No Info,No Info,No Info, 100 ,040-21111111 ,17.4574,78.56493333,"https://www.google.com/maps/search/?api=1&query=17.4574,78.5649333333333"
4,Annapurna Canteen - RAMANTHAPUR ,Telangana,Hyderabad,RAMANTHAPUR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.39965,78.53738333,"https://www.google.com/maps/search/?api=1&query=17.39965,78.5373833333333"
5,Annapurna Canteen - UPPAL CHOWRASTHA ,Telangana,Hyderabad,UPPAL CHOWRASTHA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.40201667,78.5605,"https://www.google.com/maps/search/?api=1&query=17.4020166666667,78.5605"
6,Annapurna Canteen - L B NAGAR ,Telangana,Hyderabad,L B NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.34755,78.55005,"https://www.google.com/maps/search/?api=1&query=17.34755,78.55005"
7,Annapurna Canteen - MEHABBOB GUNJ ,Telangana,Hyderabad,MEHABBOB GUNJ  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.37348333,78.50325,"https://www.google.com/maps/search/?api=1&query=17.3734833333333,78.50325"
8,Annapurna Canteen - MALAKPET AREA HOSPITAL ,Telangana,Hyderabad,MALAKPET AREA HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.37275,78.49838333,"https://www.google.com/maps/search/?api=1&query=17.37275,78.4983833333333"
9,Annapurna Canteen - AZAMPURA CHAMAN (UNANI HOSPITAL) ,Telangana,Hyderabad,AZAMPURA CHAMAN (UNANI HOSPITAL)  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36045,78.4741,"https://www.google.com/maps/search/?api=1&query=17.36045,78.4741"
10,Annapurna Canteen - DABBIRPURA DARWAZA ,Telangana,Hyderabad,DABBIRPURA DARWAZA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36795,78.48513333,"https://www.google.com/maps/search/?api=1&query=17.36795,78.4851333333333"
11,Annapurna Canteen - MIR ALAM MANDI ,Telangana,Hyderabad,MIR ALAM MANDI  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36556667,78.47873333,"https://www.google.com/maps/search/?api=1&query=17.3655666666667,78.4787333333333"
12,Annapurna Canteen - ASRA HOSPITAL ,Telangana,Hyderabad,ASRA HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.35623333,78.47368333,"https://www.google.com/maps/search/?api=1&query=17.3562333333333,78.4736833333333"
13,Annapurna Canteen - BADA BAZAR YAKUTHPURA ,Telangana,Hyderabad,BADA BAZAR YAKUTHPURA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36005,78.49213333,"https://www.google.com/maps/search/?api=1&query=17.36005,78.4921333333333"
14,Annapurna Canteen - MADANNAPET MANDI ,Telangana,Hyderabad,MADANNAPET MANDI  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.35825,78.50503333,"https://www.google.com/maps/search/?api=1&query=17.35825,78.5050333333333"
15,Annapurna Canteen - CHARMINAR ,Telangana,Hyderabad,CHARMINAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3593,78.47411667,"https://www.google.com/maps/search/?api=1&query=17.3593,78.4741166666667"
